"lon","lat","p"
-89.621383,20.957581,-1878.24739355452
-89.697784,19.386237,-1738.90249899881
-90.401669,20.852814,-1885.12918894657
-90.201933,20.77426,-1873.87840864458
-89.534053,21.228694,-1900.69101371678
-89.53324,21.238132,-1901.51876950768
-89.111944,21.309167,-1898.90129639065
-89.623337,20.866745,-1870.14731922807
-89.404682,20.646944,-1845.93346259181
-89.383033,21.212258,-1896.01595681851
-89.59735,21.0936,-1889.93066196
-89.19618,20.738841,-1849.82539482738
-89.416222,21.297742,-1904.36362677072
-89.283214,21.095811,-1883.50180801655
-89.507235,21.231928,-1900.41116899908
-90.391747,20.859963,-1885.56849792536
-90.386214,20.8579,-1885.2666129906
-89.216367,21.235122,-1894.52043764177
-89.568346,21.237667,-1902.22270608878
-89.326742,21.215694,-1895.12882428895
-89.534365,20.99217,-1879.52061092205
-89.644356,20.295535,-1819.38016475046
-89.028844,19.692973,-1753.24262111321
-89.3007,21.239377,-1896.6912336639
-89.267451,21.285964,-1900.14374835776
-89.202764,21.303332,-1900.31609680965
-89.431714,21.1998,-1895.9344504572
-89.576373,21.24674,-1903.20590727402
-89.560811,21.23116,-1901.47990807076
-89.6319,21.108622,-1892.0058962418
-89.631786,21.107843,-1891.9336666976
-88.608897,18.909192,-1675.52264628122
-89.67144,21.143568,-1895.97418929792
-89.659681,21.140257,-1895.42869887802
-89.592586,20.96737,-1878.52089991882
-89.153409,21.210769,-1891.01236386152
-89.909944,21.099139,-1897.02240593822
-89.778055,21.127889,-1896.82078067589
-89.58518,21.128677,-1892.81633220686
-89.978206,19.594866,-1763.1108894904
-89.845833,18.608333,-1671.88117912639
-87.796305,19.734333,-1732.60151903957
-87.796306,19.734333,-1732.6015387739
-89.909722,19.014167,-1709.55846903157
-89.809444,18.107222,-1626.19954020457
-88.415555,19.6025,-1733.1659168875
-88.5898549,20.7005874,-1833.86203411077
-88.588285,20.698474,-1833.64231377709
-88.5798547,20.6905879,-1832.76926983958
-89.2665428,21.3172283,-1902.91527241932
-90.0498892,20.3172716,-1829.56805642631
-88.5884659,20.6986435,-1833.66107387601
-89.475,20.475,-1832.000625
-88.758333,20.708333,-1838.03711628889
-88.415565,19.602783,-1733.19113451739
-88.591667,20.708333,-1834.58574126111
-89.575,21.041667,-1884.807321525
-89.925,20.575,-1850.206875
-89.621667,20.967778,-1879.16721764593
-89.599444,21.096944,-1890.27445249914
-89.291667,21.158333,-1889.26282451111
-89.758333,19.408333,-1742.05961638889
-88.575,20.691667,-1832.764404525
-89.271938,21.202623,-1892.79924589337
-91.508333,18.425,-1686.041035525
-89.264539,21.296531,-1901.02502201421
-89.2725,21.314722,-1902.818519745
-89.805833,18.110278,-1626.40860165157
-89.262778,21.291944,-1900.57807046043
-89.591667,21.025,-1883.664798675
-88.5665243,20.667259,-1830.42729643789
